"","X1_050_06.y","X1_090_07.y","X1_120_01.y","X1_200_02.y","X1_300_04.y","X1_400_05.y","X1_600_03.y","X3_040_07.y","X3_060_01.y","X3_080_02.y","X3_120_06.y","X3_150_07.y","X3_200_01.y","X3_250_02.y","X3_300_01.y","X3_400_02.y","X3_500_04.y","X3_550_05.y","X3_600_03.y","X3_800_03.y","X5_020_06.y","X5_050_07.y","X5_080_01.y","X5_120_02.y","X5_200_04.y","X5_300_05.y","X5_400_03.y","X5_500_05.y","X5_600_03.y","X6_040_06.y","X6_080_07.y","X6_200_01.y","X8_040_06.y","X8_070_07.y","X8_200_01.y","X9_040_06.y","X9_070_07.y","X9_380_01.y","X12_040_06.y","X12_120_07.y","X12_300_01.y","X12_1900_03.y"
"K05369",0,0,0,0,0,0,0,0,0,2.553689,0.9777545,0,0,0,0,0,0,0,0,0,1.054411,15.56504,12.67936,0,0,2.111296,0,1.362968,3.161393,6.553148,8.075896,0,12.77591,13.3026,3.098592,12.25427,0,0,0,0,0,0
"K05388",18.149813,8.93004,10.44150533,0,0,0,0,23.545256,7.362430481,17.070509,0,2.75928,0,0,0,0,0,0,13.99015,0,3.762693419,9.6148981,6.722031872,1.240819724,0,0,0,0,0,12.030908826,4.319282573,17.70169937,12.503093204,8.745237502,0.458280061,10.25668,16.94598094,12.94754135,9.547074051,15.410538157,0,49.45187
"K05389",0.836668445,20.298354286,8.727059117,6.196764256,1.363229,0,1.643209,20.684497698,6.852058125,13.090587268,14.050954353,4.466066854,2.706967,0,4.201793,3.918614121,0,0,2.400906153,0,1.272105,13.686140353,10.239279369,5.626577667,2.327808439,0,0,0.8221834,0,8.395446131,22.705923076,4.718834506,12.829451826,19.709387432,17.848556762,23.35343226,5.665347251,4.411852739,2.487998,9.48440651,1.962263016,0
"K05393",0,0,0,0,0,0,0,0,0.5233203,0,1.478682,0,0,6.134456,0,0,0,0,0,0,0,0,1.983652,6.343909,0,1.596482,0,0,0,13.56171,0,0,0.5682741,0.6705948,1.562025,0,0,0,0,0,0.8463987,0
"K05460",24.7867634,3.259985174,38.65934918,4.458758422,0,0,0,7.489161182,17.89586354,10.73724445,0,0,0,0,0,0,0,0,0,0,3.990039873,4.581134195,1.102999717,2.351666163,0.689626069,0,0,0,0,2.61031959,2.971143099,0,4.265810994,1.118642691,0,4.032336321,0,0,5.202510036,4.121397916,0,0
"K05516",0,0,2.948154,0,6.19544,0,0,5.425658,6.324381,18.6691,2.680504,0,0,0,0,0,0,0,7.509217,0,0,7.586024,3.99544,0,0,0.9646826,0,0,1.444488,2.521458,3.074998,2.430531,4.807357,5.672946,1.887724,0,0,0,0,0.8530918,0,0
"K05521",2.577854,3.3678685,6.644719,13.25945,6.439461,11.3573,0,10.140285715,10.3460854,5.969617618,15.502892439,13.79212,4.851651,10.566427906,3.807368,5.378098,0,0,0,0,20.323550128,11.37524,21.54441,15.70526409,3.194798,3.462133,8.959565,6.489313,4.640051,40.093762571,31.095375,11.51205,12.078819588,10.11989724,23.3329,39.770703658,1.865289,0,9.88487112,6.0767778,6.298093,0
"K05523",0,0,0,0,8.349411,5.593165,0,0,0,0,0,1.471616,2.763241,26.22645,1.072286,1.700173,0,0,0,0,0,0,0,0,0,1.950111,0,2.517826,13.14018,0,0,0,0,0,11.44813,0,0,0,0,0,0,0
"K05533",0,0,0,0,0,0,0,0,1.887276,0,0,0,0,0,0,0,0,0,0,0,4.313043,4.244561,9.538321,2.542039,0,0,0,0,0,10.34598,3.670473,0,27.66683,3.627598,0,5.811685,0,0,0,1.272867,0,0
"K05539",4.857492,5.989343,1.66143,0,1.562994,0,550.1283,1.834575,5.8248069,0,9.818871,0,0,1.566713,0.8029191,8.911534,2.690677,30.29201,0,0,0,2.404742,2.026464,0.720092,1.689336,0,8.79715,6.598651,4.373006,2.66431,4.15899,1.027293,5.224851,2.055204,2.310094,1.646296,0,0,6.372139,0,6.193294,13.39276
