,X1_050_06,X1_090_07,X1_120_01,X1_200_02,X1_300_04,X1_400_05,X1_600_03,X3_040_07,X3_060_01,X3_080_02,X3_120_06,X3_150_07,X3_200_01,X3_250_02,X3_300_01,X3_400_02,X3_500_04,X3_550_05,X3_600_03,X3_800_03,X5_020_06,X5_050_07,X5_080_01,X5_120_02,X5_200_04,X5_300_05,X5_400_03,X5_500_05,X5_600_03,X6_040_06,X6_080_07,X6_200_01,X8_040_06,X8_070_07,X8_200_01,X9_040_06,X9_070_07,X9_380_01,X12_040_06,X12_120_07,X12_300_01,X12_1900_03
K13024,2.979697572,0,0.915829517,3.168647293,9.981072591,11.01445933,0,4.145089836,0,0,0,5.023384412,1.426699803,0,19.35840383,18.99409634,12.5853152,42.39854618,0,5.483323325,2.04983413,0.396495313,2.840709794,1.789565877,3.480763379,16.46542487,6.479693946,19.27050402,8.393105653,1.210324047,4.667313157,5.735647703,1.3018966,1.79283085,15.49526572,2.011950967,5.088767791,12.91768125,0,0.990773969,0,0
K13025,102.4584819,152.1838782,79.98647735,207.3673836,192.0512096,140.7088009,31.87779636,144.6125902,114.1402351,58.12570732,104.593987,153.1737294,219.970825,119.102334,158.8945482,141.3858276,171.5726832,219.5334688,173.0189459,181.7703179,141.3981753,157.8629942,161.7289605,118.1719581,197.292794,236.7455126,200.9120708,189.6139446,138.8947788,116.6378047,99.59043349,111.1969556,104.9191198,92.70695089,136.2715513,145.7051698,196.7110132,160.8810443,144.7007405,133.8526366,168.6751463,33.9543656
K13045,1.189564178,3.289611738,1.618005489,0,22.92376358,0,0,0,0,0,0.757121787,0,1.185114463,4.706182478,21.36131943,18.17674445,3.031991819,0,41.07739182,0,0,0,0,5.202875474,19.43874827,9.049849554,25.91630862,35.69869941,25.94932665,0,0,0,0,0,12.78166537,0,2.247594686,0,0,0,2.622237115,0
K13076,2.684688474,2.548196707,0.783336414,0,0,0,0,0.879656974,1.355078896,2.98682733,1.212602695,19.53158915,3.442546962,3.52893148,0.285101573,4.061554865,0,0,0,0,3.545214804,6.329942798,1.55616796,3.105954358,0.270721807,10.33188063,1.985574568,1.016650778,6.378208094,2.146944812,3.611563572,19.62173542,2.125725245,2.228762352,11.19707832,1.37948327,11.36140368,13.79547448,5.414502296,2.553508142,18.89964247,0
K13091,1.160661724,0.641937022,1.184020002,0,0,0,0,0,2.579761773,1.295484386,1.477452491,0,0,0,0,0.682119615,0.493054083,0,0,0,5.814766048,3.213538735,4.740143326,0.362604493,0,0,0,0,0,4.904753076,2.881201703,0,2.93102467,4.073333955,0,4.201955435,0.365497601,1.489427369,0.511745987,0.352086676,0,0
K13100,0,0.225514264,0,0,1.208848684,0,3.078692199,0,0.362510998,0.455107273,0,0,0,2.150833921,0.305081737,0,0,0.558158915,0,0.830134753,0,0.282231277,0,0,0.57938845,7.331982171,3.807112721,0,0,0,0,0,0.205935426,0,0,0.29523173,0.256800651,0,0,0,0,0
K13107,1.154755048,0.638670167,2.355988909,0,6.847066592,0,61.03331023,0.888610226,1.026653286,0,2.204900472,1.257552646,0,3.045646506,0,6.786482684,0,1.580740133,0,0,0,3.99648106,2.694868834,0,8.204317364,6.389114235,1.197997302,3.057713028,3.598570744,1.084398333,1.563566781,0,2.332886811,4.05260452,3.308705912,0.836114287,1.454550251,0.987898391,1.018283363,0.700589773,7.636514956,0
K13111,3.93257135,12.18011528,2.139580916,0,5.829499937,6.433055106,0,5.447165283,3.845946408,2.633627705,9.511260441,2.569591976,5.4850055,19.70696921,2.942426113,24.0361456,2.004687832,1.076656624,0,6.405129846,0,0.544407992,0.917749958,3.440029451,17.32291134,16.86277702,7.343702702,23.60321287,6.536052235,1.477187331,2.129919394,0,1.588950636,0.460044361,2.253589989,6.833821455,8.916367828,6.055800014,1.387124304,0,2.311689102,0
K13116,0,0,0,0,8.78612485,6.463862073,0,0,0,3.328813112,6.327315702,1.29094869,3.542960826,5.210879743,6.541900956,2.322235694,0.335714665,0,1.516086197,11.2626554,4.980445838,2.064337862,0,5.590384272,0,1.91297924,3.702456323,1.046304937,3.283676221,4.66778253,7.627739807,0,1.004188956,2.32591979,0,2.879236933,3.235218647,2.028266787,0,0,1.742069585,0
K13118,19.02209289,3.788639632,6.211512897,0,0,0,0,5.939367357,2.415984759,7.645802193,2.906585779,0,1.137411743,0,0,0,0,0,0,0,2.255529291,22.79370351,0,5.907431528,0,3.75881586,0,0,0,4.899933153,0.711205723,0,6.562046544,16.72251606,0,1.967596464,0,0,0,16.62380563,0,0
K13125,0,0,0,0,22.68884629,15.64870487,2.889194281,0,0,0,0,0,6.099442397,0,4.580856303,0,5.201595858,0,0,0,0,0,0,0,0,4.234269636,0,5.403850343,0,0,0,0,0,0,0,0,24.09942026,17.02250549,0,0,1.124658189,0
K13126,109.0681882,67.9224267,59.70647354,66.12984696,131.4050059,127.0871912,62.6352482,91.04992181,62.46652854,106.8598069,79.8029123,89.58343567,78.56156516,109.0978608,105.2570035,93.96756275,182.0100765,112.453078,304.5188644,117.7863653,135.3565784,100.895003,84.05887077,108.257549,77.78351574,84.65025415,77.59508644,129.3975893,62.52541721,61.5652898,59.88866655,63.73137482,74.70680153,61.57317351,113.2292279,70.48889674,37.72867576,39.0427257,123.5213075,67.94468757,146.3184268,159.0379708
K13171,0,0.945970009,0.387731843,0,6.39167974,0,5.778388562,0,0.253438908,3.042688913,1.088600359,3.589584127,7.96839268,8.898426724,0,20.27240053,7.802393787,0,0,6.232310154,0,3.465409744,6.985160956,13.30309101,0,10.19845466,2.236641044,1.902899794,22.97649359,13.39359242,8.379118716,0,2.240654816,6.263139713,7.721623654,2.064025848,21.18811341,16.66224952,0,2.615978914,13.08450311,3.962902129
K13177,0.55512995,0.614060858,0,0,0,0,0,0.427185099,0.987094168,0,0,0.604548245,0,0,0.830717978,0.652498519,0,0,0,0,1.98652121,3.842488212,0.971636194,3.815442014,0,1.919665057,0,0.979964298,0,0,1.503319254,1.058760307,1.40187235,0,0.795303623,2.009742599,0.34962584,0.474916291,0.489523378,0.336797285,0.815807102,0
